id_ponto	category	TITULO
157	Xango	Eu fui lá na mata buscar minha guia
158	Xango	Bate, bate no tambor
159	Xango	Xangô ô, Xangô ô
160	Xango	A lua vem nascendo no horizonte
161	Xango	Sao Miguel Arcanjo
162	Xango	Quero andar de valor em valor
163	Xango	Xangô e Oxóssi
164	Xango	Xangô e Ogum
165	Xango	Treme Terra
166	Xango	Em cima de uma pedra branca
167	Xango	Quando a lua surgir
168	Xango	Caboclo do Vento
169	Xango	Caboclo do Vento vem descendo da pedreira
170	Xango	Caboclo Ventania
171	Xango	Eu estava na pedreira
172	Xango	Veado no campo é corredor
173	Xango	Caboclo do Sol e da Lua
174	Xango	Xangô, Xangô
175	Xango	Caboclo Serra Negra
176	Xango	Caboclo da Pedra
177	Xango	Caboclo Girassol
178	Iansa	Iansã
179	Iansa	Ponto de chegada da cabocla dirigente do C.E. Jandira
180	Iansa	Iansã é uma moça bonita
181	Iansa	Saravá Iansã
182	Iansa	bonanza
183	Iansa	jacutá
184	Iansa	O ronco da pedreira
185	Iansa	A trovoada trovejou lá na pedreira
186	Ogum	#OGUM
187	Ogum	Oh! Meu São Jorge
188	Ogum	Eu vi os soldados de Ogum
189	Ogum	Xangô rolou a pedra na pedreira
190	Ogum	São Jorge Guerreiro mandou me chamar
191	Ogum	Quem é a aquele lindo cavalheiro?
192	Ogum	Quem me dera Ogum
193	Ogum	Ai vem Ogum em seu cavalo
194	Ogum	Ogum é guerreiro de umbanda
195	Ogum	Ogum olha sua bandeira
196	Ogum	Ele é filho do major Heitor
197	Ogum	Eu tenho sete espadas pra me defender
198	Ogum	Clarão da lua, clareou as matas
199	Ogum	Por entre matas, por entre mares,
200	Ogum	Salve São Jorge Guerreiro
201	Ogum	Na minha porta bateu
202	Ogum	Quatro santos nesta sala
203	Ogum	altaneiro
204	Ogum	Estão batendo na porta
205	Ogum	Ogum cavaleiro da lua
206	Ogum	São Jorge é quem está de ronda
207	Ogum	Zélio Fernandino de Moraes
208	Ogum	Capitão do mato mandou me chamar
209	Ogum	Ogum meu pai
210	Ogum	Saravá, saravá São Jorge
211	Ogum	Tem festa do terreiro
212	Ogum	Ogum de lei, Ogum Megê, Ogum Iara
213	Ogum	Ô Ô Ogum
214	Ogum	O seu cavalo corre
215	Ogum	Zélio Fernandino de Moraes
216	Ogum	Ai o meu pai é o maior na espada
217	Ogum	Levanta a bandeira de Ogum
218	Ogum	Vence demanda, ele tocou clarim
219	Ogum	Ogum é São Jorge guerreiro
220	Ogum	Nagô
221	Ogum	Oh Jorge, Oh Jorge
222	Ogum	Ogum Beira Mar
223	Ogum	Eu vi uma luzinha tão longe
224	Ogum	A sua corrente é tão forte
225	Ogum	Ogum que abalou as estrelas
226	Ogum	Ogum quando chega no reino
227	Ogum	Como é linda a coroa de Iemanjá
228	Ogum	Oh seu Ogum Beira Mar
229	Ogum	São Jorge, São Jorge
230	Ogum	Ele é Ogum, ele vem do mar
231	Ogum	Que cavaleiro é aquele
232	Ogum	Olha que lindo barquinho
233	Ogum	Em seu cavalo branco
234	Ogum	Ogum Iara
235	Ogum	Ogum vencedor de demanda
236	Ogum	Se meu pai é Ogum
237	Ogum	Ogum Megê e Ogum Iara
238	Ogum	Seu capacete é de ouro
239	Ogum	Ogum Rompe Mato
240	Ogum	Cruza flechas e lanças
241	Ogum	Ogum da Mata
242	Ogum	Ogum das Matas
243	Ogum	CACOBLO OGUM DA MATA VIRGEM
244	Ogum	Ogum Megê
245	Ogum	Qual o Ogum que bebe
246	Ogum	Todo o homem que fuma e bebe
247	Ogum	Ogum Naruê
248	Ogum	Ogum da Lua
249	Ogum	Ogum da Lua, ori babá orixá
250	Ogum	Ogum meu pai me disse
251	Ogum	Ogum de Ronda
252	Ogum	Oxóssi assoviou lá no Humaitá
253	Ogum	Ogum da Cachoeira
254	Ogum	Ogum Timbiri
255	Ogum	Ogum das Sete Ondas
256	Cosme	COSME E DAMIÃO
257	Cosme	Papai mandou as criancinhas
258	Cosme	Cosme e Damião
259	Cosme	Fui no jardim colher as rosas
260	Cosme	Na aruandê, na aruandê, na aruanda
261	Cosme	Vai, vai, vai Doum
262	Cosme	Damião cadê Doum, ô Damião?
263	Cosme	Eu era criança e tinha esperança
264	Cosme	27 de setembro, dia de festa e procissão
265	Cosme	De lá do céu de lá do céu
266	Cosme	Doum, hoje é teu dia
267	Cosme	São Cosme e São Damião
268	Cosme	Bahia é terra de dois
269	Cosme	Salve Doum, São Cosme e São Damião
270	Cosme	Cosme e Damião, dois dois dois
271	Cosme	Oi Cosme, oi Cosme, oi Cosme
272	Cosme	Enfeitei meu jardim de rosas brancas
273	Cosme	São Cosme e São Damião sua santa já chegou
274	Cosme	Cosme e damião, doum
275	Oriente	POVO DO ORIENTE
276	Oriente	São João batista vem chegando
277	Oriente	Oh João batista, enviado de Jesus
278	Oriente	Zarthur
279	Oriente	Nasceu mais uma estrela
280	Oriente	Brilhou um clarão no céu
281	Oriente	Uma luz nasceu e clareou
282	Oriente	Ori do Oriente
283	Oriente	Vovó Faustina
